id	guid	mid	field_1	field_2	field_3	field_4	field_5	field_6
1549911464080	mQDAG?v{LH	1562101354843	{{c2::Money laundering}} is {{c1::the process of hiding and disguising the origins of money, so that a criminal's funds appear legitimate}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549911765880	H!0qSo_@^G	1562101354843	Money laundering: {{c2::Placement}}&nbsp;is {{c1::the initial stage of the money laundering process, where money is deposited or assets bought}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549911821712	Lk/#W9Z%T+	1562101354843	Money laundering: {{c2::Layering}} is {{c1::the process by which money is moved to obscure its origin}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549911899339	DJ`}7#f,,0	1562101354843	Money laundering: {{c2::Integration}}&nbsp;is {{c1::the final stage of money laundering, where the funds are used to establish a legitimate source of wealth. E.g. buying a rental property}}.					
1549911967903	t64f,~$~>O	1562101354843	{{c2::Embezzlement}} is&nbsp;{{c1::the act of wrongfully appropriating funds that have been entrusted to you but which are owned by someone else}}.&nbsp;					
1549912109634	sE)gOFAM}*	1562101354843	FATF stands for {{c1::Financial Action Task Force}}			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912143328	pi*`-8))DB	1562101354843	FCA stands for&nbsp;{{c1::Financial Conduct Authority}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912160265	o[/_mn2@gf	1562101354843	MLRO stands for {{c1::Money Laundering Reporting Officer}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912188861	zdMx$#bfHa	1562101354843	Money laundering: What does PEP stands for {{c1::Politically Exposed Person}},			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912220448	bgOU6&9h9+	1562101354843	CDD stands for {{c1::Customer Due Diligence}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912236218	K3dYtmS8h|	1562101354843	Money laundering: What does PSC stands for&nbsp;{{c1::Person with Significant Control}}.			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549912260702	JMgL??gZH<	1562101354843	<div>Money laundering: The three ways you may break the law are the following (where there are reasonable grounds to suspect a person of money laundering).<br></div><div><br></div>1. {{c1::<b>Assiting</b>. Providing any service which helps move (etc) their money.}}<div>2. {{c2::<b>Failing to report</b>.}}</div><div>3. {{c3::<b>Tipping off</b>. Revealing to the person that they are under suspicion.}}</div>			<i>Money laundering resource</i>, Compliance Training Products Ltd		
1549976874153	xha40Psa~n	1562101354843	{{c2::A premium}} is {{c1::a regular contribution made by an individual (or group) in order to have a policy}}.					
1549976954091	oW6AYx9{Z~	1562101354843	{{c2::A lapse}} is {{c1::when outstanding premiums have not been made after the forfeiture notice has been issued}}.					
1549977036466	z,jWK^FP%h	1562101354843	{{c2::A policy}} is {{c1::a contract of insurance}}.					
1549977065644	e~`2(O%bJb	1562101354843	{{c2::A forfeiture notice}} is {{c1::an official letter sent to a client informing them that their policy is in arrears}}.					
1549977185804	fGb#-E&A[o	1562101354843	{{c2::A surrender value}} is {{c1::an amount paid to a customer when a policy with a savings value and set term is cashed out at the end of the set term}}.					
1549977328243	G;qMUSA)c:	1562101354843	{{c2::A paid up value}} is {{c1::a level of insurance accumulated by a policy with a savings value and set term, where premiums are stopped before the end of the set term}}.					
1549977441341	H3t4ilWf!~	1562101354843	{{c2::A unit linked investment}} is {{c1::an investment whose value directly corresponds to the underlying stocks and shares in which it is invested}}.					
1549977511238	iC6i5<BM#,	1562101354843	{{c2::A with profits policy}} is {{c1::a policy that has savings value and accumulates growth through the addition of reversionary and terminal bonuses}}.					
1549977610361	LfmC&HdVR,	1562101354843	{{c2::A reversionary bonus}} is {{c1::a share of the profit made by an insurance company given annually to with profits policy holders}}.					
1549977683732	GPs9v.7WqO	1562101354843	An annual bonus is {{c1::an alternative term for reversionary bonus}}.					
1549977722689	Li/`T0IrAq	1562101354843	{{c2::A terminal bonus}} is {{c1::a share of the profit made by an insurance company added at the end of a contract term on a with profits policy}}.					
1549977855099	K-}N8kFQi^	1562101354843	ISA stands for {{c1::Individual Savings Account}}.					
1549977889107	M:U<491?1^	1562101354843	{{c2::An annuity}} is {{c1::a payment of regular amounts to an individual in exchange for a lump sum investment}}.					
1549977946954	gp+`HmT6]Q	1562101354843	{{c2::Underwriting}} is {{c1::the process of assessing the risk to an insurance company when deciding whether to accept a contract of insurance}}.					
1549978020843	rRpis[9k2)	1562101354843	{{c2::Maturity}} is {{c1::the point at which a policy with a savings element reaches its set term}}.					
1549978095631	hQ(q^=m-}j	1562101354843	{{c2::An entitled lapse}} is {{c1::a lapse where the customer recieves a surrender value or paid up value}}.					
1549978226593	r>q*Youz*?	1562101354843	{{c2::A non-entitled lapse}} is {{c1::a lapse where the customer does not recieve either a surrender value or paid up value}}.<br>					
1549978327289	d<{L+{{q.G	1562101354843	{{c2::A prosper}} is {{c1::an individual that applies for a policy}}.					
1549978383751	p6tQ;1,n6]	1562101354843	{{c2::The bid price}} is {{c1::the price at which an investor can sell units back to the product provider in a unit linked investment}}.					
1549978497583	FLgIn9W-RO	1562101354843	{{c2::The offer price}} is {{c1::the price at which an investor can buy units from the product provider in a unit linked investment}}.					
1549978550583	jWzkY=c6:8	1562101354843	{{c2::Assignation}} is {{c1::the transfer of ownership of a policy to a third party (normally in connection to a mortgage)}}.					
1549978633349	wf+lbl-aB~	1562101354843	{{c2::Re-assignation}} is {{c1::the transfer of ownership of a policy by a third party back to the original owner}}.					
1549978719861	o}Cr^,<Wc;	1562101354843	{{c2::The XD date}} is {{c1::the date at which a new buyer of a share will not be entitled to the next dividend payment}}.	Equivalently, the XD date is the last date at which a seller will still receive the next dividend.				
1550234824396	QrfBu.$Udd	1562101354843	CoG stands for {{c1::Cost of Guarantees}}.					
1550237990412	d5d[M1<MM~	1562101354843	ORSA stands for {{c1::Own Risk and Solvency Assessment}}.					
1550493227888	E9Bh#D4IvJ	1562101354843	SII: BEL stands for {{c1::Best Estimate Liability}}.					
1550493270728	I|vYk-P`Kb	1562101354843	{{c2::Solvency II}} is {{c1::an EU directive regulating insurance companies}}.					
1550493320875	owt)dsT#gn	1562101354843	SII: {{c2::Own funds}} is {{c1::the Solvency II terminology for ‘available capital’}}.					
1550493405248	rBO[f}Wj{<	1562101354843	SII: {{c2::SCR}} is {{c1::the amount of capital above BEL need for an insurer to have a 99.5% probability of meeting their obligations over a 12-month period}}.	There is an SCR associated with every year after the current one. Sometimes subsequent SCRs are taken to be just the excess of each amount of captial over the previous one.				
